Projeto;Chave;Resumo;Tipo de item;Status;Prioridade;Resolução;Responsável;Relator;Criador;Criado;Última visualização;Atualizado(a);Resolvido;Versões afetadas;Versões corrigidas;Componentes;Data limite;Votos;Seguidores;Imagens;Estimativa original;Estimativa de trabalho restante;Tempo gasto;Razão Trabalhada;Subtarefas;Itens associados;Ambiente;Descrição_x;Nível de Segurança;Progresso;Σ de Progresso;Σ de Tempo Gasto;Σ da estimativa de trabalho restante;Σ da Estimativa Original;Categorias;Categoria do status alterada;Categoria do status;Pai;Actual end;Actual start;Approvers;Category;Change reason;Change risk;Change type;Dispositivo;Epic Color;Epic Link;Epic Name;Epic Status;Flagged;Impact;Indisponível ou Inoperante;Issue color;Formulários bloqueados;Formulários abertos;Organizations;Parent Link;Participantes;Project overview key;Project overview status;Rank;Request Type;Responsável pela execução;Sistema Operacional;Sprint;Start date;Status Prazo;Story Points;Story point estimate;Formulários enviados;Target end;Target start;Team;Formulários totais;Unidade;Versão do App;[CHART] Date of First Response;development;Tempo da Primeira Resposta;Tempo de Solução;Data do registro;Pessoa que fez o registro;Tipo;"#JIRA
Card";#Solicitud Quipux;Descrição_y;Equipe;Cliente;Estimativa (h);Versão;Data Pré;Data Produção;Observações;Producto;Unnamed: 13;Responsáveis;Unnamed: 14;Unnamed: 15;Unnamed: 11;Observação;#Solicitud;Produto;"Equipe/Analista
Responsável";"https://www.quipux.com/svn/Arquitectura/Arquitectura%20Script/084_Shopping_brasil/Scripts/SSDD/Back_Version_1.5
"
RJ - Comitê Técnico - Web;OABDRJ-350;Grade de agendamento e configuração de atendentes.;Tarefa;Concluído;Media;Itens concluídos;Mario Ivo de Albuquerque Nascimento;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-18 15:15:00;06/mai/24 7:28 AM;06/mai/24 7:28 AM;2024-05-06 07:28:00;;;;19/abr/24;0;1;;;;;;;;;;;;;;;;SDC_OPERAÇÃO;06/mai/24 7:28 AM;Itens concluídos;Abril/24 - 12 Novos Serviços Síncronos;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00fhb:;;;;;;;;;;;;Nenhum;;;;;;0;17;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-349;Envio dos dados para criação do fluxo dos novos serviços no chatbot.;Tarefa;Concluído;Media;Itens concluídos;Fernanda  Rodrigues;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-18 15:15:00;;03/mai/24 8:42 AM;2024-05-03 08:42:00;;;;19/abr/24;0;1;;;;;;;;;;;;;;;;SDC_OPERAÇÃO;03/mai/24 8:42 AM;Itens concluídos;Abril/24 - 12 Novos Serviços Síncronos;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00fh3:;;;;;;;;;;;;Nenhum;;;;;;0;14;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-348;Avaliar se precisa de templates diferenciadoS de SMS e e-mail para os novos serviços.;Tarefa;Concluído;Media;Itens concluídos;Fernanda  Rodrigues;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-18 15:15:00;;03/mai/24 8:42 AM;2024-05-03 08:42:00;;;;19/abr/24;0;1;;;;;;;;;;;;;;;;SDC_OPERAÇÃO;03/mai/24 8:42 AM;Itens concluídos;Abril/24 - 12 Novos Serviços Síncronos;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00fgv:;;;;;;;;;;;;Nenhum;;;;;;0;14;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-347;Revisar conteúdo da carta de serviços e publicação dos novos serviços;Tarefa;Concluído;Media;Itens concluídos;Fernanda  Rodrigues;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-18 15:15:00;;03/mai/24 8:41 AM;2024-05-03 08:41:00;;;;19/abr/24;0;1;;;;;;;;;;;;;;;;SDC_MKT;03/mai/24 8:41 AM;Itens concluídos;Abril/24 - 12 Novos Serviços Síncronos;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00fgn:;;;;;;;;;;;;Nenhum;;;;;;0;14;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-346;Levantamento das informações para configuração dos novos serviços;Tarefa;Concluído;Media;Itens concluídos;Eduardo Soares de Oliveira;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-18 15:15:00;;03/mai/24 8:41 AM;2024-05-03 08:41:00;;;;;0;1;;;;;;;;;;;;;;;;SDC_UX;03/mai/24 8:41 AM;Itens concluídos;Abril/24 - 12 Novos Serviços Síncronos;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00fgf:;;;;;;;;;;;;Nenhum;;;;;;0;14;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-343;Serviços cancelados por revogação com erro;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-16 11:33:00;;18/abr/24 11:54 AM;2024-04-18 11:54:00;;;;;0;2;;;;;;;;;;;;;;;;;18/abr/24 11:54 AM;Itens concluídos;Interface Cidadão;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00fd3:;;;;;;;;;;;;Nenhum;;;;2024-04-16 11:56:00;;0;2;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-341;Erro ao tentar baixar arquivo histórico do atendimento síncrono;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-10 16:44:00;;12/abr/24 10:45 AM;2024-04-12 10:45:00;;;;;0;2;WhatsApp Image 2024-04-10 at 16.30.03.jpeg;;;;;;;;;;;;;;;;12/abr/24 10:45 AM;Itens concluídos;Área logada Cidadão;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00f5r:;;;;;;;;;;;;Nenhum;;;;2024-04-11 00:30:00;;0;1;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-340;Avaliar se a documentação compartilhada atende o cenário de treinamento;Tarefa;Concluído;Media;Itens concluídos;Thiago Morina;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-09 20:23:00;06/mai/24 7:26 AM;06/mai/24 7:26 AM;2024-05-06 07:26:00;;;;;0;3;;;;;;;;;;;;;;;;QUIPUX;06/mai/24 7:26 AM;Itens concluídos;OCR;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00f53:;;;;;;;;;;;;Nenhum;;;;2024-04-10 09:33:00;;0;26;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-339;Apresentar o plano e cronograma do projeto;Tarefa;Concluído;Media;Itens concluídos;Thiago Morina;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-09 20:23:00;;18/abr/24 3:55 PM;2024-04-18 15:55:00;;;;;0;2;;;;;;;;;;;;;;;;;18/abr/24 3:55 PM;Itens concluídos;OCR;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00f4v:;;;;;;;;;;;;Nenhum;;;;2024-04-10 09:33:00;;0;8;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-335;Bloqueio de popup e nova guia no safari/IOS;Melhoria;Concluído;Media;Itens concluídos;Ana Sousa;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-04 11:29:00;16/mai/24 11:42 AM;16/mai/24 11:44 AM;2024-05-16 11:44:00;;;;;0;1;;;;;;;;;Proderj avaliar solução técnica que não dependa do cidadão configurar liberação no dispositivo IOS (navegador Safari);;;;;;;PRODERJ;16/mai/24 11:44 AM;Itens concluídos;Interface Cidadão;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00epr:;;;;;;;;;;;;Nenhum;;;;;;0;42;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-334;Levantar funcionamento de versões mínimas de SO e navegadores;Melhoria;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-04 11:00:00;22/mai/24 9:00 AM;22/mai/24 9:01 AM;2024-05-22 09:01:00;;;;;0;3;;;;;;;;;;;;;;;;QUIPUX;22/mai/24 9:01 AM;Itens concluídos;Videoconferência;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00epj:;;;;;;;;;;;;Nenhum;;;;2024-04-07 23:27:00;;3;47;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-331;Não está apresentando agenda para o cidadão;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-02 09:34:00;;04/abr/24 11:05 AM;2024-04-04 11:05:00;;;;;0;2;WhatsApp Image 2024-04-02 at 9.33.25 AM.jpeg;;;;;;;;;;;;;;;;04/abr/24 11:05 AM;Itens concluídos;Agendamento;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00enz:;;;;;;;;;;;;Nenhum;;;;2024-04-02 09:47:00;;0;2;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-330;Problemas de áudio e vídeo na chamada;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-02 08:09:00;;25/abr/24 12:03 PM;2024-04-25 12:03:00;;;;;0;3;WhatsApp Image 2024-04-02 at 8.07.49 AM.jpeg;;;;;;;;;;;;;;;QUIPUX;25/abr/24 12:03 PM;Itens concluídos;Videoconferência;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00enr:;;;;;;;;;;;;Nenhum;;;;2024-04-02 09:47:00;;0;23;;Alex;Erro;OABDRJ-330;;"Problemas de áudio e vídeo na chamada
Vide imagem ilkustrativa no card";DSV;;;V4.21;2024-02-05 00:00:00;2024-08-05 00:00:00;Card resolvido;RJ;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-328;Apresentando mensagem de limite de usuário incorretamente;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-01 14:08:00;;02/mai/24 11:44 AM;2024-05-02 11:44:00;;;;;0;3;WhatsApp Image 2024-04-01 at 2.02.04 PM.jpeg;;;;;;;;Apresentando mensagem incorreta de limite de usuário com somente 1 usuário na chamada.;;;;;;;QUIPUX;02/mai/24 11:44 AM;Itens concluídos;Videoconferência;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00emv:;;;;;;;;;;;;Nenhum;;;;2024-04-01 14:10:00;;0;30;;Alex;Erro;OABDRJ-328;;Apresentando mensagem de limite de usuário incorretamente;DSV;;;V4.21;2024-02-05 00:00:00;2024-08-05 00:00:00;Card resolvido;RJ;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-327;Limitação de acesso na vídeo conferência por usuário;Melhoria;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-01 10:24:00;;04/abr/24 11:19 AM;2024-04-04 11:19:00;;;;;0;2;WhatsApp Image 2024-04-01 at 10.17.25 AM.jpeg;;;;;;;;Limitação do acesso na chamada de vídeo conferência por usuário. Atualmente a limitação está por acesso, ou seja, o mesmo usuário pode entrar várias vezes por dispositivos diferentes e está contando.  A solução deve limitar por usuários simultaneamente na chamada, de forma que garanta que na chamada tenha 1 cidadão e 1 atendente.;;;;;;;;04/abr/24 11:19 AM;Itens concluídos;Videoconferência;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00em7:;;;;;;;;;;;;Nenhum;;;;2024-04-01 10:27:00;;0;3;;Alex;Erro;OABDRJ-327;;Limitação de acesso na vídeo conferência por usuário;DSV;;;V4.21;2024-02-05 00:00:00;2024-08-05 00:00:00;Card resolvido;RJ;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-322;Avaliar os 3 novos serviços referente ao uso do OCR;Tarefa;Cancelado;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-03-28 15:33:00;;23/abr/24 3:36 PM;2024-04-23 15:36:00;;;;;0;2;;;;;;;;;Avaliar se para alguns dos 3 serviços possuem a necessidade anexar RG e certidão de nascimento, e se existe campos do formulário oriundos destes arquivos. Isso com objetivo no futuro de uso do OCR. Caso negativo, avaliar com equipe internar inclusão de mais documentos no escopo de OCR.;;;;;;;;23/abr/24 3:36 PM;Itens concluídos;Mar/24 - 2 Novos Serviços Assíncronos;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00el3:;;;;;;;;;;;;Nenhum;;;;2024-04-05 08:47:00;;7;26;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-321;Procedimentos BO Digital;Tarefa;Concluído;Media;Itens concluídos;Eduardo Soares de Oliveira;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-03-28 15:32:00;;17/mai/24 2:40 PM;2024-05-17 14:40:00;;;;;0;1;;;;;;;;;;;;;;;;SDC_UX;17/mai/24 2:40 PM;Itens concluídos;Mar/24 - 2 Novos Serviços Assíncronos;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00ekv:;;;;;;;;;;;;Nenhum;;;;;;0;49;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-320;Revisar carta de serviço “Abertura de Processos de escolas Extintas”.;Tarefa;Concluído;Media;Itens concluídos;Eduardo Soares de Oliveira;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-03-28 15:31:00;;15/mai/24 11:36 AM;2024-05-15 11:36:00;;;;;0;2;;;;;;;;;;;;;;;;SDC_UX;15/mai/24 11:36 AM;Itens concluídos;Mar/24 - 2 Novos Serviços Assíncronos;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00ekn:;;;;;;;;;;;;Nenhum;;;;2024-05-15 11:36:00;;47;47;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-319;Avaliar o desenho em alto nível do fluxo de solicitação;Tarefa;Concluído;Media;Itens concluídos;Eduardo Soares de Oliveira;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-03-28 15:30:00;;18/abr/24 3:44 PM;2024-04-18 15:44:00;;;;09/abr/24;0;1;;;;;;;;;;;;;;;;SDC_UX;18/abr/24 3:44 PM;Itens concluídos;Mar/24 - 2 Novos Serviços Assíncronos;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00ekf:;;;;;;Atrasado;;;;;;Nenhum;;;;;;0;21;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-318;Divergência na quantidade de atendimentos no relatório de gestão de protocolos do Atende.;Bug;Cancelado;Media;Itens concluídos;Thiago Morina;ARTHUR FELIPE MELO MAZZINI DA SILVA;ARTHUR FELIPE MELO MAZZINI DA SILVA;2024-03-27 10:55:00;;18/abr/24 11:28 AM;2024-04-18 11:28:00;;;;;0;4;Relatório retirado em 26-03.jpeg;;;;;;;;;;;;;;;;18/abr/24 11:28 AM;Itens concluídos;Atende;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00ehr:;;;;;;;;;;;;Nenhum;;;;2024-03-28 12:02:00;;1;22;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-316;Não está apresentando dados do celular na página do serviço;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-03-26 07:34:00;;18/abr/24 11:49 AM;2024-04-18 11:49:00;;;;24/abr/24;0;2;image-20240326-103456.png;;;;;;;;"!image-20240326-103456.png|width=1205,height=561!

!image-20240326-103514.png|width=1258,height=351!";;;;;;;;18/abr/24 11:49 AM;Itens concluídos;Interface Cidadão;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00edz:;;;;;;;;;;;;Nenhum;;;;2024-03-26 08:33:00;;0;23;;Alex;Erro;OABDRJ-316;31781;Não está apresentando dados do celular na página do serviço;DSV;;;V1.9.0;23/04/2024;;Card resolvido;RJ;;BR/WIGNER;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-315;Solicitações com Nome e CPF Divergentes;Bug;Concluído;Media;Itens concluídos;Alex Goulart;ARTHUR FELIPE MELO MAZZINI DA SILVA;ARTHUR FELIPE MELO MAZZINI DA SILVA;2024-03-25 12:38:00;16/mai/24 5:58 PM;16/mai/24 5:58 PM;2024-05-16 17:58:00;;;;08/mai/24;0;3;diver.jpg;;;;;;;;Na solicitação consta o nome de um cidadão e o CPF de outro (O nome que consta é Flavio mas o CPF e os documentos anexados na solicitação é de Leandro).;;;;;;;QUIPUX;16/mai/24 5:58 PM;Itens concluídos;Atende;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00edr:;;thiago;;;;;;;;;;Nenhum;;;;2024-03-25 12:55:00;;0;52;;Alex;Erro;OABDRJ-315;;Solicitações com Nome e CPF Divergentes;DSV;;;V1.9.0;23/04/2024;;Card resolvido;RJ;;BR/WIGNER;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-314;Problemas na vídeo chamada;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-03-25 08:19:00;;25/abr/24 12:02 PM;2024-04-25 12:02:00;;;;;0;3;WhatsApp Image 2024-03-25 at 08.09.40.jpeg;;;;;;;;Senha DIG1, cidadão não consegue ver nem ouvir o atendente e atendente não consegue ver nem ouvir o cidadão.;;;;;;;;25/abr/24 12:02 PM;Itens concluídos;Videoconferência;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00edb:;;;;;;;;;;;;Nenhum;;;;2024-03-25 09:52:00;;0;31;;Alex;Erro;OABDRJ-314;;"Problemas na vídeo chamada
Senha DIG1, cidadão não consegue ver nem ouvir o atendente e atendente não consegue ver nem ouvir o cidadão. 
Vide imagem ilustrativa no card";DSV;;;V4.21;2024-02-05 00:00:00;2024-08-05 00:00:00;Card resolvido;RJ;;;;;;;;;;
